unit,n,wins,unit_name,n_images,image_path,image_confidence,image_distance_ft,win_rate,shrunk_rate,base_rate
200_Stair_405879191_n738137860,8,0,Beach 90 St (Stair),8,/share/ju/cyclomedia/raw/queens_2025_1k/W0EO4/W0EO41ST/faces/B.jpg,0.648,22.0,0.0,0.25,0.5
212_Underpass_408661810_n738943060,8,0,Kingsbridge Rd (Underpass),12,/share/ju/cyclomedia/raw/bronx_2025_1k/W0EM9/W0EM9RSG/faces/R.jpg,0.536,24.0,0.0,0.25,0.5
424_Elevator_408565160_n738677431,12,1,Pelham Pkwy (Elevator),11,/share/ju/cyclomedia/raw/bronx_2025_1k/W0D2G/W0D2GDMH/faces/L.jpg,0.571,34.0,0.0833,0.25,0.5
420_Stair_408837982_n738628369,8,0,219 St (Stair),10,/share/ju/cyclomedia/raw/bronx_2025_1k/W0CPT/W0CPTUJU/faces/L.jpg,0.554,33.0,0.0,0.25,0.5
1_EasementPassage_407749098_n739119884,12,1,Astoria-Ditmars Blvd (Easement - Passage),5,/share/ju/cyclomedia/raw/queens_2025_1k/W0CH4/W0CH4Q87/faces/R.jpg,0.48,43.0,0.0833,0.25,0.5
389_Stair_408278540_n739257450,8,0,161 St-Yankee Stadium (Stair),11,/share/ju/cyclomedia/raw/bronx_2025_1k/W0CQ3/W0CQ34R9/faces/B.jpg,0.649,24.0,0.0,0.25,0.5
70_Stair_405883299_n739835485,8,0,Bay 50 St (Stair),7,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0EJU/W0EJUCJ6/faces/R.jpg,0.545,29.0,0.0,0.25,0.5
91_Stair_406768239_n738995113,8,0,Alabama Av (Stair),13,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0CR8/W0CR8HQL/faces/B.jpg,0.619,17.0,0.0,0.25,0.5
280_StationHouse_407012544_n738165827,8,0,Jamaica-Van Wyck (Station House),7,/share/ju/cyclomedia/raw/queens_2025_1k/W0DIK/W0DIKK4I/faces/B.jpg,0.58,32.0,0.0,0.25,0.5
457_Stair_407444484_n739113476,8,0,52 St (Stair),8,/share/ju/cyclomedia/raw/queens_2025_1k/W0E4F/W0E4FJX4/faces/B.jpg,0.607,16.0,0.0,0.25,0.5
362_Stair_408439350_n738363860,8,0,Middletown Rd (Stair),8,/share/ju/cyclomedia/raw/bronx_2025_1k/W0CTQ/W0CTQ57J/faces/F.jpg,0.563,35.0,0.0,0.25,0.5
367_Stair_408317650_n738670780,12,1,St Lawrence Av (Stair),13,/share/ju/cyclomedia/raw/bronx_2025_1k/W0EC8/W0EC8QQP/faces/F.jpg,0.521,39.0,0.0833,0.25,0.5
460_Stair_407447369_n739315948,13,1,33 St-Rawson St (Stair),11,/share/ju/cyclomedia/raw/queens_2025_1k/W0CKQ/W0CKQYYZ/faces/B.jpg,0.552,31.0,0.0769,0.2381,0.5
54_StationHouse_405873020_n739542240,13,1,Sheepshead Bay (Station House),13,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0DHZ/W0DHZXWV/faces/B.jpg,0.552,36.0,0.0769,0.2381,0.5
294_Stair_408849088_n739006597,13,1,238 St (Stair),17,/share/ju/cyclomedia/raw/bronx_2025_1k/W0D2W/W0D2WQJJ/faces/R.jpg,0.597,28.0,0.0769,0.2381,0.5
51_StationHouse_406090620_n739578080,13,1,Kings Hwy (Station House),8,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0EEP/W0EEPJG1/faces/F.jpg,0.58,30.0,0.0769,0.2381,0.5
49_StationHouse_406251468_n739607947,13,1,Avenue J (Station House),6,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0EF5/W0EF5WAU/faces/B.jpg,0.59,31.0,0.0769,0.2381,0.5
159_Stair_407819909_n739720340,13,1,81 St-Museum of Natural History (Stair),12,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0D5L/W0D5LD0N/faces/B.jpg,0.443,48.0,0.0769,0.2381,0.5
219_Stair_408274880_n739260040,9,0,161 St-Yankee Stadium (Stair),7,/share/ju/cyclomedia/raw/bronx_2025_1k/W0CW4/W0CW4EZ1/faces/B.jpg,0.546,31.0,0.0,0.2353,0.5
366_StationHouse_408331448_n738610722,9,0,Parkchester (Station House),4,/share/ju/cyclomedia/raw/bronx_2025_1k/W0EES/W0EESAJ1/faces/B.jpg,0.365,57.0,0.0,0.2353,0.5
379_Stair_408793430_n738848800,9,0,Mosholu Pkwy (Stair),10,/share/ju/cyclomedia/raw/bronx_2025_1k/W0D2T/W0D2TVEW/faces/R.jpg,0.409,52.0,0.0,0.2353,0.5
50_StationHouse_406179244_n739594540,9,0,Avenue M (Station House),1,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0DHX/W0DHXPVQ/faces/R.jpg,0.241,45.0,0.0,0.2353,0.5
