block,word,weight,count,rank,also_in
dismissal,capital,10.96818,50,103,
dismissal,summit,10.86126,38,104,
dismissal,metadata,10.68159,32,105,
dismissal,error,10.66559,43,106,
dismissal,motion,10.52338,122,107,
dismissal,speaking,10.4752,34,108,
dismissal,identifying,10.46172,81,109,
dismissal,misunderstanding,10.42281,39,110,
dismissal,gives,10.35577,99,111,
dismissal,generated,10.32606,36,112,
dismissal,believe,10.18611,27,113,
dismissal,dataset,10.05084,49,114,
dismissal,globe,9.89149,176,115,
dismissal,contain,9.76799,50,116,
dismissal,mismatch,9.71566,39,117,
dismissal,stereotype,9.35222,22,118,
dismissal,famous,9.28567,94,119,
dismissal,logo,9.28192,175,120,
reconsideration,look,413.65584,55061,1,dismissal;verdict
reconsideration,examine,385.88322,55678,2,
reconsideration,prompt,306.19124,27988,3,dismissal;hedge
reconsideration,read,298.40125,24583,4,
reconsideration,evaluate,261.58166,33107,5,
reconsideration,closer,228.31677,13602,6,dismissal
reconsideration,check,227.11656,14654,7,dismissal
reconsideration,double,190.59912,10198,8,
reconsideration,reconsider,178.52951,9926,9,
reconsideration,think,173.81203,8104,10,verdict
reconsideration,york,152.67638,7877,11,dismissal
reconsideration,new,135.11339,7993,12,dismissal
reconsideration,looking,134.57191,14691,13,dismissal;hedge
reconsideration,try,128.76085,4366,14,dismissal
reconsideration,carefully,128.11152,5085,15,
reconsideration,says,122.7842,6827,16,dismissal
reconsideration,closely,106.72473,4080,17,dismissal;hedge
reconsideration,parks,98.28955,4659,18,dismissal;hedge
reconsideration,plazas,97.29844,4281,19,dismissal;hedge
reconsideration,reason,93.58731,2360,20,dismissal
reconsideration,city,78.56306,8095,21,dismissal
reconsideration,time,65.36855,1169,22,
reconsideration,asks,64.16045,1573,23,dismissal
reconsideration,entrances,61.37032,2583,24,dismissal;hedge;verdict
reconsideration,station,58.00486,3560,25,dismissal;hedge
reconsideration,evaluating,52.84668,909,26,
reconsideration,claim,52.60667,733,27,
reconsideration,zoom,49.78164,655,28,
reconsideration,clues,48.90157,634,29,
reconsideration,consider,48.16211,1145,30,dismissal;hedge
reconsideration,missed,43.35417,731,31,dismissal
reconsideration,search,40.58063,505,32,dismissal
reconsideration,signs,40.51078,3028,33,
reconsideration,rethink,39.54906,535,34,
reconsideration,restaurants,37.28787,1579,35,
reconsideration,word,36.00667,349,36,
reconsideration,thing,35.89029,462,37,
reconsideration,cue,35.41983,365,38,
reconsideration,buildings,34.02154,5144,39,dismissal
reconsideration,option,33.15919,531,40,
reconsideration,neglect,32.99068,793,41,
reconsideration,far,32.68842,700,42,
reconsideration,edges,31.826,419,43,
reconsideration,interpretation,31.18967,298,44,
reconsideration,aspect,29.7581,261,45,
reconsideration,reading,29.31349,230,46,
reconsideration,need,27.88291,510,47,dismissal;hedge
reconsideration,text,26.73203,465,48,
reconsideration,common,25.86955,617,49,
reconsideration,searching,24.5395,169,50,
reconsideration,flaws,24.31206,162,51,
reconsideration,interpret,24.2616,304,52,
reconsideration,names,23.32843,215,53,
reconsideration,sea,23.18702,162,54,
reconsideration,surroundings,22.39596,552,55,
reconsideration,thought,22.1563,132,56,
reconsideration,details,21.77531,800,57,
reconsideration,linden,21.71797,165,58,
reconsideration,intent,21.12805,122,59,
reconsideration,locations,20.82198,287,60,
reconsideration,logic,20.55598,113,61,
reconsideration,source,20.07738,118,62,
reconsideration,clue,19.79584,116,63,
reconsideration,specifics,17.83252,134,64,
reconsideration,original,17.74748,103,65,
reconsideration,phrasing,17.70309,95,66,
reconsideration,wording,17.26009,103,67,
reconsideration,ruins,16.86348,82,68,
reconsideration,scan,16.71538,75,69,
reconsideration,noticed,16.71295,77,70,
reconsideration,wants,15.5051,148,71,
reconsideration,foods,14.88767,107,72,
reconsideration,perceptions,14.40494,78,73,
reconsideration,provided,13.69692,177,74,
reconsideration,opening,13.59566,86,75,
reconsideration,reasons,13.58333,53,76,
reconsideration,examining,13.46092,48,77,
reconsideration,consensus,13.41124,50,78,
reconsideration,angles,13.17054,117,79,
reconsideration,globes,13.15121,72,80,
reconsideration,arthur,13.03669,48,81,
reconsideration,request,12.63486,46,82,
reconsideration,navy,12.50701,42,83,
reconsideration,regal,12.35532,42,84,
reconsideration,verizon,12.17462,73,85,
reconsideration,biases,11.82332,42,86,
reconsideration,verify,11.27574,34,87,
reconsideration,drug,11.165,33,88,
reconsideration,cinemas,10.91674,42,89,
reconsideration,difficulty,10.5132,30,90,
reconsideration,criteria,10.34455,52,91,
reconsideration,requirement,10.1787,28,92,
reconsideration,logos,9.85471,42,93,
reconsideration,markers,9.73946,80,94,
reconsideration,constraints,9.5062,26,95,
reconsideration,qualityline,9.5062,26,96,
reconsideration,requirements,9.5062,26,97,
reconsideration,tropes,9.35875,26,98,
reconsideration,patterns,8.78257,114,99,
reconsideration,commonalities,8.665,25,100,
reconsideration,constraint,8.09977,19,101,
reconsideration,kill,8.09925,48,102,
reconsideration,roadways,7.93918,54,103,
reconsideration,baguette,7.7938,41,104,
reconsideration,finding,7.55322,33,105,
reconsideration,format,7.53129,15,106,
reconsideration,applies,7.11231,17,107,
reconsideration,possibility,7.00397,28,108,
