layer,model,boroct2020,n_images,mean_score,comparisons,median_income
census_tract,gemma-4-12b,4037100,28,-0.1607,35,81607.0
census_tract,gemma-4-12b,4037300,73,-0.4817,95,59821.0
census_tract,gemma-4-12b,4037502,9,0.4259,13,70625.0
census_tract,gemma-4-12b,4037600,100,-0.025,131,112955.0
census_tract,gemma-4-12b,4037700,20,0.2167,25,81797.0
census_tract,gemma-4-12b,4037900,28,0.2202,39,80927.0
census_tract,gemma-4-12b,4038100,53,0.0094,67,83654.0
census_tract,gemma-4-12b,4038301,107,-1.0436,134,
census_tract,gemma-4-12b,4038302,766,-0.8758,1041,
census_tract,gemma-4-12b,4038400,42,0.0357,56,100337.0
census_tract,gemma-4-12b,4039400,43,0.0581,62,100833.0
census_tract,gemma-4-12b,4039800,32,0.0156,39,86948.0
census_tract,gemma-4-12b,4039901,18,-0.0833,29,118319.0
census_tract,gemma-4-12b,4039902,12,-0.25,16,58640.0
census_tract,gemma-4-12b,4040000,44,0.1023,63,112560.0
census_tract,gemma-4-12b,4040102,16,0.2292,20,75660.0
census_tract,gemma-4-12b,4040200,31,0.3548,35,103214.0
census_tract,gemma-4-12b,4040301,8,0.125,13,37018.0
census_tract,gemma-4-12b,4040302,9,0.1111,15,70179.0
census_tract,gemma-4-12b,4040400,64,0.25,87,87917.0
census_tract,gemma-4-12b,4040501,15,0.6,20,102682.0
census_tract,gemma-4-12b,4040502,7,0.0,9,74091.0
census_tract,gemma-4-12b,4040701,12,0.3333,16,77944.0
census_tract,gemma-4-12b,4040702,12,-0.3194,17,99722.0
census_tract,gemma-4-12b,4040901,9,0.4444,11,83320.0
census_tract,gemma-4-12b,4040902,9,0.4074,16,84091.0
census_tract,gemma-4-12b,4041100,25,0.2,29,73899.0
census_tract,gemma-4-12b,4041300,24,0.1667,28,72519.0
census_tract,gemma-4-12b,4041400,43,0.093,58,92939.0
census_tract,gemma-4-12b,4041500,22,-0.4545,29,63411.0
census_tract,gemma-4-12b,4042400,61,0.1339,83,95855.0
census_tract,gemma-4-12b,4042600,26,-0.6282,34,
census_tract,gemma-4-12b,4042700,29,0.1149,39,70921.0
census_tract,gemma-4-12b,4043200,32,0.1875,44,92750.0
census_tract,gemma-4-12b,4043400,32,0.2083,40,95057.0
census_tract,gemma-4-12b,4043701,36,-0.2315,42,60188.0
census_tract,gemma-4-12b,4043702,21,-0.0952,27,66731.0
census_tract,gemma-4-12b,4043900,15,-0.1333,18,68922.0
census_tract,gemma-4-12b,4044000,54,-0.1173,70,67463.0
census_tract,gemma-4-12b,4044301,10,-0.2,12,36467.0
census_tract,gemma-4-12b,4044302,16,0.0625,19,62731.0
census_tract,gemma-4-12b,4044400,83,-0.2108,111,46434.0
census_tract,gemma-4-12b,4044601,18,0.5556,22,57614.0
census_tract,gemma-4-12b,4044602,34,0.0637,44,45688.0
census_tract,gemma-4-12b,4044800,18,0.3056,27,72371.0
census_tract,gemma-4-12b,4045000,48,-0.0104,69,148424.0
census_tract,gemma-4-12b,4045200,32,-0.1354,40,76071.0
census_tract,gemma-4-12b,4045400,28,0.0357,38,84100.0
census_tract,gemma-4-12b,4045500,10,0.1333,13,80100.0
census_tract,gemma-4-12b,4045600,26,0.0577,36,75357.0
census_tract,gemma-4-12b,4045700,19,-0.1579,23,82176.0
census_tract,gemma-4-12b,4045800,27,0.2654,38,79236.0
census_tract,gemma-4-12b,4045900,23,0.4348,30,72279.0
census_tract,gemma-4-12b,4046000,29,0.7098,42,57184.0
census_tract,gemma-4-12b,4046100,10,0.5,11,77000.0
census_tract,gemma-4-12b,4046200,39,0.1966,56,60647.0
census_tract,gemma-4-12b,4046300,22,-0.0606,34,75539.0
census_tract,gemma-4-12b,4046400,40,-0.2333,54,118472.0
census_tract,gemma-4-12b,4046500,14,0.4286,18,94125.0
census_tract,gemma-4-12b,4046600,30,0.3,41,76885.0
census_tract,gemma-4-12b,4046700,17,0.0588,21,77246.0
census_tract,gemma-4-12b,4046800,28,0.5595,39,83388.0
census_tract,gemma-4-12b,4046901,19,0.2105,28,73538.0
census_tract,gemma-4-12b,4046902,16,0.0,18,68353.0
census_tract,gemma-4-12b,4047000,35,0.2714,48,72955.0
census_tract,gemma-4-12b,4047100,17,0.0196,25,60616.0
census_tract,gemma-4-12b,4047200,74,0.1847,103,128274.0
census_tract,gemma-4-12b,4047300,47,0.1844,67,72441.0
census_tract,gemma-4-12b,4047500,45,0.0407,58,86271.0
census_tract,gemma-4-12b,4047600,75,-0.2578,108,115335.0
census_tract,gemma-4-12b,4047801,70,0.1286,95,56848.0
census_tract,gemma-4-12b,4047802,26,0.0256,36,116198.0
census_tract,gemma-4-12b,4047900,79,-0.1013,102,87515.0
census_tract,gemma-4-12b,4048000,34,-0.0294,44,86250.0
census_tract,gemma-4-12b,4048100,20,0.2417,27,73983.0
census_tract,gemma-4-12b,4048200,33,0.1086,48,110729.0
census_tract,gemma-4-12b,4048301,10,0.2,13,60568.0
census_tract,gemma-4-12b,4048302,18,0.3148,26,85724.0
census_tract,gemma-4-12b,4048400,58,0.3218,73,86726.0
census_tract,gemma-4-12b,4048500,33,-0.048,47,77614.0
census_tract,gemma-4-12b,4048900,68,-0.3162,90,61552.0
census_tract,gemma-4-12b,4049201,48,-0.6806,62,60797.0
census_tract,gemma-4-12b,4049202,39,0.047,55,107063.0
census_tract,gemma-4-12b,4049301,23,-0.0145,36,86429.0
census_tract,gemma-4-12b,4049302,39,-0.1538,47,59940.0
census_tract,gemma-4-12b,4049500,44,-0.6705,59,92800.0
census_tract,gemma-4-12b,4049600,40,0.275,55,91991.0
census_tract,gemma-4-12b,4049700,26,0.1538,30,86031.0
census_tract,gemma-4-12b,4049900,64,-0.3297,94,85045.0
census_tract,gemma-4-12b,4050000,40,0.1792,54,68850.0
census_tract,gemma-4-12b,4050201,24,0.0833,34,90972.0
census_tract,gemma-4-12b,4050202,19,0.0351,27,85147.0
census_tract,gemma-4-12b,4050400,39,-0.1026,53,131168.0
